make_model,make,location,price,body_type,type,warranty,mileage,gearbox,paint,seller,power,engine_size,CO2_emissions,empty_weight,full_service_history,previous_owner,age,fuel_type,cons_avg,comfort_convenience_count,entertainment_media_count,safety_security_count,extras_count,upholstery
Dacia Break,Dacia,BE,20500.0,Station wagon,Demonstration,yes,999.0,Manual,Non-Metallic,Dealer,136.0,1490.0,124.0,1454.0,no,0,0.0,Petrol,6.199999999999999,13,5,5,3,standard
Dacia Dokker,Dacia,ES,9990.0,Station wagon,Used,yes,51925.0,Manual,Non-Metallic,Dealer,75.0,1500.0,108.0,1454.0,no,0,8.0,Diesel,4.65,0,0,0,0,standard
Dacia Dokker,Dacia,BE,7200.0,Station wagon,Used,yes,149000.0,Manual,Metalic,Dealer,75.0,1461.0,108.0,1280.0,no,0,5.0,Diesel,4.25,13,7,15,4,standard
Dacia Dokker,Dacia,ES,13475.0,Station wagon,Used,yes,92852.0,Manual,Non-Metallic,Dealer,90.0,1461.0,108.0,1454.0,no,0,7.0,Diesel,4.65,0,0,0,0,standard
Dacia Dokker,Dacia,ES,14990.0,Station wagon,Used,yes,49812.0,Manual,Non-Metallic,Dealer,90.0,1500.0,108.0,1454.0,no,0,5.0,Diesel,4.25,0,0,0,0,standard
Dacia Dokker,Dacia,DE,13680.0,Station wagon,Used,yes,75100.0,Manual,Metalic,Private seller,90.0,1461.0,108.0,1280.0,yes,1,4.0,Diesel,4.25,15,5,15,7,standard
Dacia Dokker,Dacia,ES,12690.0,Station wagon,Used,yes,76480.0,Manual,Non-Metallic,Dealer,75.0,1500.0,108.0,1454.0,no,0,4.0,Diesel,4.25,0,0,0,0,standard
Dacia Dokker,Dacia,ES,12690.0,Station wagon,Used,yes,76480.0,Manual,Non-Metallic,Dealer,75.0,1500.0,108.0,1454.0,no,0,4.0,Diesel,4.25,0,0,0,0,standard
Dacia Dokker,Dacia,ES,12500.0,Station wagon,Used,yes,73000.0,Manual,Non-Metallic,Dealer,75.0,999.0,108.0,1454.0,no,0,4.0,Diesel,4.65,0,1,3,0,standard
Dacia Dokker,Dacia,DE,4790.0,Station wagon,Used,yes,279632.0,Manual,Non-Metallic,Dealer,75.0,1461.0,108.0,1280.0,no,1,8.0,Diesel,4.25,2,0,14,1,standard
Dacia Dokker,Dacia,FR,15700.0,Station wagon,Used,yes,2081.0,Manual,Metalic,Dealer,90.0,1461.0,118.0,1205.0,no,0,7.0,Diesel,4.65,5,1,7,0,standard
Dacia Dokker,Dacia,ES,15250.0,Station wagon,Used,yes,68625.0,Manual,Non-Metallic,Dealer,90.0,1461.0,108.0,1454.0,no,0,5.0,Diesel,4.25,0,0,0,0,standard
Dacia Dokker,Dacia,DE,11980.0,Station wagon,Used,yes,158600.0,Manual,Metalic,Dealer,95.0,1461.0,113.0,1368.0,yes,1,3.0,Diesel,4.35,14,8,15,7,standard
Dacia Dokker,Dacia,ES,11930.0,Compact,Used,yes,141100.0,Manual,Non-Metallic,Dealer,90.0,1461.0,108.0,1169.0,no,0,4.0,Diesel,4.25,1,0,2,0,standard
Dacia Dokker,Dacia,ES,14845.0,Station wagon,Used,yes,31742.0,Manual,Non-Metallic,Dealer,95.0,1500.0,108.0,1454.0,no,0,4.0,Diesel,4.65,0,0,0,0,standard
Dacia Dokker,Dacia,ES,11990.0,Station wagon,Used,yes,95526.0,Manual,Non-Metallic,Dealer,95.0,1500.0,108.0,1454.0,no,0,4.0,Diesel,4.4,0,0,0,0,standard
Dacia Dokker,Dacia,DE,12490.0,Station wagon,Used,yes,33345.0,Manual,Metalic,Dealer,75.0,1461.0,0.0,1277.0,no,0,5.0,Diesel,4.25,4,5,10,3,standard
Dacia Dokker,Dacia,ES,14845.0,Station wagon,Used,yes,31742.0,Manual,Non-Metallic,Dealer,95.0,1500.0,108.0,1454.0,no,0,4.0,Diesel,4.65,0,0,0,0,standard
Dacia Dokker,Dacia,ES,11990.0,Station wagon,Used,yes,95526.0,Manual,Non-Metallic,Dealer,95.0,1500.0,108.0,1454.0,no,0,4.0,Diesel,4.4,0,0,0,0,standard
Dacia Dokker,Dacia,ES,13900.0,Station wagon,Used,yes,100655.0,Manual,Non-Metallic,Dealer,95.0,1500.0,108.0,1454.0,no,0,2.0,Diesel,4.65,0,1,0,0,standard
Dacia Dokker,Dacia,ES,14500.0,Station wagon,Used,yes,75000.0,Manual,Non-Metallic,Dealer,75.0,999.0,108.0,1454.0,no,0,4.0,Diesel,4.65,0,1,3,0,standard
Dacia Dokker,Dacia,ES,14845.0,Station wagon,Used,yes,31742.0,Manual,Non-Metallic,Dealer,95.0,1500.0,108.0,1454.0,no,0,4.0,Diesel,4.65,0,0,0,0,standard
Dacia Dokker,Dacia,ES,14845.0,Station wagon,Used,yes,31742.0,Manual,Non-Metallic,Dealer,95.0,1500.0,108.0,1454.0,no,0,4.0,Diesel,4.65,0,0,0,0,standard
